id	description	en	local
		Wall of sharp rocks extending out into the ocean.	伸入海洋的尖锐岩石墙。
		Mainland Tunnel	大陆隧道
		A short continuing section of rail and road tunnels leading away from the mainland.	从大陆引出的铁路和公路隧道的一段短而连续的路段。
		Mainland Junction	大陆枢纽
		The junction point on the mainland where the trainline to the Arctic begins.	大陆上通往北极的铁路线的交汇点。
		Mainland Road	大陆路
		Coastal road with a natural tunnel through a rock face.	经过穿山隧道的海滨公路。
		Mainland Quarry	大陆采石场
		Large quarry with mine, natural rock bridge and small castle ruin.	大型采石场，带有矿山、天然岩桥和小城堡遗址。
		Mainland Beach	大陆海滩
		Small beach with several rock stacks.	有几个岩石堆的小海滩。
		Mainland Cliff 2	大陆悬崖2
		Key Cottage	沙洲小屋
		Small island with lone cottage on the key.	建有一个沙洲小屋的小岛。
		Key Chemical Plant	沙洲化工厂
		Small island with chemical plant on the key.	建有一个沙洲化工厂的小岛。
		Key Lighthouse OB	沙洲灯塔OB
		Small island with lighthouse on the key.	建有一个沙洲灯塔的小岛。
		Uninhabited 1	无人居住1
		Small island with cliff edges.	有峭壁的小岛。
		Uninhabited 2	无人居住2
		Smooth climb to a rocky cliffside.	平稳地爬到岩石峭壁上。
		Uninhabited 3	无人居住3
		Two small islands surrounded by cliffs. Aerial access only.	只能从空中进入的四壁高耸的小岛。
		Uninhabited 4	无人居住4
		Multiple scattered sea stacks.	多个散落的海蚀柱。
		Uninhabited 5	无人居住5
		Relatively flat island with central rocky outcrop.	相对平坦的岛屿，中部有突出的岩石。
		Uninhabited 6	无人居住6
		Rocky shoreline with a small bay.	有一个小海湾的岩石海岸线。
		Uninhabited 7	无人居住7
		High cliffs and a bay with 2 narrow entrances.	高耸的悬崖和一个有两个狭窄入口的海湾。
		Ruins 1	废墟1
		Rocky coastline with small cave, ancient ruin and sheltered beach.	包含小洞穴、古代遗迹和隐蔽沙滩的多礁石海岸线。
		Ruins 2	废墟2
		Sheltered cove, ancient ruin, cliff face connected by natural arch.	隐蔽的海湾，古老的废墟，悬崖面由自然拱门连接。
		Seabed Rock Formation 1	海床岩层1
		A rocky formation with cave on the ocean bed.	海床上有洞穴的岩石。
		Seabed Rock Formation 2	海床岩层2
		Two small rock formations on the ocean bed.	海床上的两个小岩层。
		Seabed Rock Formation 3	海床岩层3
		Multiple scattered rock stacks on the ocean bed.	海床上的多个分散的石堆。
		Seabed Rock Formation 4	海床岩层4
		A flat rocky formation with central mound on the ocean bed.	海床上的有中心丘的平坦岩石层。
		Seabed Rock Formation 5	海床岩层5
		Seabed Rock Formation 6	海床岩层6
		Small rocky formation on the ocean bed.	海床上的小岩石。
		Seabed Rock Formation 7	海床岩层7
		Several rocky stacks on the ocean bed.	海床上的几个岩堆。
		Seabed Caves	海底洞穴
		A system of underwater caves.	水下洞穴系统。
		Seabed Shipwreck	海床沉船
		A sunken iron-hulled merchant vessel.	沉没的铁壳商船。
		Seabed Shipwreck 2	海床沉船2
		A sunken historic timber caravel.	一个沉入水中的历史性的木箱。
		Ice	冰
		Ice Variant	冰块变量
		Ice Scale	冰块尺寸
		Add Ice	添加冰块
		Ice cannot be picked up but can be moved using vehicles. Its size and type can be set in the properties window.	冰不能被捡起，但可以用载具移动。其大小和类型可以在“属性”窗口中设置。
		Arctic Ocean	北冰洋
		1km x 1km of empty Arctic ocean.	1 x 1km 的空北冰洋。
		Arctic Oil Refinery	北极炼油厂
		An oil refinery with rail access.	有铁路连通的炼油厂。
		Arctic Ship Breaking Yard	北极船只拆解厂
		A ship breaking yard with dry dock where boats are brought to be scrapped.	一个带干船坞的破船场，船在那里被运来报废。
		Arctic Research Facility	北极研究设施
		An Arctic survey base situated on top of a large iceberg.	位于一座大冰山顶部的北极考察基地。
		Arctic Mainland Rocks	北极大陆岩石
		A rocky coastal area surrounded by multiple small icebergs.	被多个小冰山包围的岩石海岸地区。
		Arctic Oil Platform	北极石油平台
		An oil platform built on the edge of the Arctic mainland, with road access to a train terminal.	一个建在北极大陆边缘的石油平台，有通往火车站的公路。
		Arctic Mainland Hill	北极大陆山
		A snow-covered rocky hill. Small section of train line with junction boxes.	白雪覆盖的岩石山。带有岔路的铁路线小区段。
		Arctic Mainland Outcrop	露出海面的北极大陆
		Southern end of an outcrop off the coast of the Arctic mainland.	北极大陆海岸外露头的南端。
		Arctic Mainland Outpost	北极大陆哨所
		An Arctic research outpost, large inland lake and train terminal with road access.	北极研究前哨，大型内陆湖和有公路连接的火车站。
		Arctic Fishing Village	北极渔村
		A small fishing village with a dock and a un-manned lighthouse.	一个有码头和无人驾驶灯塔的小渔村。
		Arctic Mainland Arch	北极大陆拱
		Eroded rocks form a snow-covered natural arch.	侵蚀的岩石形成一个覆盖着雪的天然拱门。
		Arctic Mainland South	北极大陆南部
		Southern point of the Arctic mainland where the incoming trainline splits.	北冰洋大陆的南端，在那里进站的铁路线分开。
		Arctic Mainland Coast	北极大陆海岸
		A small section of coastline with multiple small icebergs offshore.	海岸线的一小部分，离岸有多个小冰山。
		Arctic Container Depot	北极集装箱仓库
		A large shipping container depot with several docking areas and trainline access.	有多个停泊区和铁路线连接的大型集装箱仓库。
		Arctic Underwater Mining	北极水下矿井
		An underwater drilling and mining facility with dock and trainline access.	水下钻井和采矿设施，带码头和火铁路连接。
		Multiplayer Island Base	多人岛屿基地
		A large island complete with dock and airstrip, both featuring with two workbenches.	一个大型岛屿，配有码头和简易机场，均配有两个工作台。
		Ice Shelf 1	冰架1
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Ice Shelf 2	冰架2
		An ice shelf with narrow passages between cliffs of ice.	在冰崖之间有狭窄通道的冰架。
		Ice Shelf 3	冰架3
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Ice Shelf 4	冰架4
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Ice Shelf 5	冰架5
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Ice Shelf 6	冰架6
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Ice Shelf 7	冰架7
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Ice Shelf 8	冰架8
		An ice shelf with two very large icebergs.	有两个非常大的冰山的冰架。
		Ice Shelf 9	冰架9
		A dense ice shelf with many large icebergs.	有许多大冰山的稠密冰架。
		Ice Shelf 10	冰架10
		Two small icebergs.	两个小冰山。
		Ice Shelf 11	冰架11
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Ice Shelf 12	冰架12
		An ice shelf with multiple large icebergs.	有多个大冰山的冰架。
		Volcano Northwest	西北火山
		Northwest region of a dormant volcano.	休眠火山的西北地区。
		Volcano North	火山北部
		Northern region of a dormant volcano.	休眠火山的北部地区。
		Volcano Northeast	火山东北部
		Northeast region of a dormant volcano.	休眠火山东北部地区。
		Volcano West	西火山
		Western region of a dormant volcano.	休眠火山的西部地区。
		Volcano Center	火山中心
		Central region of a dormant volcano.	休眠火山的中心区域。
		Volcano East	火山东部
		Eastern region of a dormant volcano.	一座休眠火山的东部地区。
		Volcano Southwest	西南火山
		Southwest region of a dormant volcano.	休眠火山西南部地区。
		Volcano South	火山南部
		Southern region of a dormant volcano.	休眠火山的南部地区。
		Volcano Southeast	东南火山
		Southeast region of a dormant volcano.	休眠火山东南部地区。
		Special Outfit	特殊装备
		None	无
		Diving	潜水
		Firefighter	消防
		Scuba	水肺
		Parachute	降落伞
		Arctic	极地
		SET OBJECTIVE	设定目标
		ADD COMPONENTS TO MISSION	向任务添加组件
		IN MISSON	在任务中
		SET TRIGGER	设置触发器
		ZONES	区域
		ZONE	区域
		VEHICLE BUTTONS	载具按钮
		VEHICLE BUTTON	载具按钮
		OBJECTIVES	目标
		OBJECTIVE	目标
		SET ACTION COMPONENTS	设置动作组件
		DEPENDENCIES	依赖关系
		SET ACTION OBJECTIVES	制定行动目标
		Uploading to workshop. Please wait...	上传到创意工坊。请稍候...
		Loading. Please wait...	加载中。请稍候...
		Your addon has errors that must be fixed in order to upload to the Steam workshop:\n\n	你的插件存在以下错误导致无法更新至创意工坊:\n\n
		CANNOT UPLOAD TO WORKSHOP	无法上传到创意工坊
		Your mission has errors that must be fixed before it can be tested:\n\n	您的任务有错误，必须先修复这些错误，然后才能进行测试。\n\n
		CANNOT SPAWN MISSION	无法生成任务
		WORKSHOP UPLOAD FAILED	创意工坊上传失败
		COMPONENTS OVERLAPPING	零件重叠
		Your addon has failed to upload to the Steam workshop.	你的插件上传到创意工坊的过程中出错了
		Your workshop addon has failed to update.	你的创意工坊插件更新失败
		ADDON UPLOAD COMPLETE	插件上传完成
		Your addon was successfully uploaded to the Steam workshop.\n\n We recommend heading to your addon's workshop page to add more information about the content you've included.\n\n Any vehicles used in your addon have been included as part of the upload. Players will not need to separately subscribe to any of these vehicles.	你的插件已经成功的上传到了Steam创意工坊\n\n我们建议您去该插件的创意工坊界面添加说明信息。\n\n任何插件内的载具都作为该插件的一部分被上传上去了。玩家不需要额外订阅载具。
		ADDON UPDATE COMPLETE	插件上传完成
		Your addon was updated successfully.\n\nYou can customise the changelog for this update by heading to your addon's workshop page to let your subscribers know what's new.	你的插件上传成功\n\n你可以去创意工坊插件页为这此更新自定义更新日志，来让你的订阅者知道更新了什么。
		missions	任务
		mission	任务
		objectives	目标
		objective	目标
		triggers	触发器
		trigger	触发器
		This component is currently required by	当前组件存在依赖关系
		Are you sure you want to delete it?	确定要删除它吗？
		Workshop upload must have a name	必须要有名字才能上传到创意工坊
		Workshop upload must be renamed	必须重命名才能上传到创意工坊
		This addon includes the following	这个组件包含以下物品
		mission(s)	任务
		Please note that some missions in this addon will only naturally spawn if certain criteria are met(such as owning a specific type of island, or having unlocked fire equipment).	请注意该插件中的一些任务会在一些情况下自然生成(例如拥有了特定类型的岛屿，或是解锁了特定装备)
		The author of this addon has tagged it as creative, so some or all included missions may be unsuitable for career mode.	这个插件被作者标记为创造模式插件，所以该插件的一些或所有内容也许不适合生涯模式。
		(If you are the author of this addon, you can edit this description to add more details)	(如果你是这个插件的作者，你可以编辑这个描述增加更多信息)
		Uploaded	上传
		to the Workshop.	去创意工坊。
		Updated	更新
		Addon must have a name	插件必须有一个名字
		Addon must be renamed	插件必须重命名
		MISSION OVERVIEW	任务概述
		No dependencies set.	未设置依赖项。
		[no zone set]	[未设置区域]
		[no vehicle button set]	[未设置载具按钮]
		[no objective set]	[未设定目标]
		[no buttons set]	[未设置按钮]
		[no flares set]	[没有信号弹]
		[no fires set]	[未设置火]
		[no message set]	[没有消息集]
		[no objectives set]	[未设定目标]
		Loading vehicles...	加载载具...
		Saving game...	保存游戏...
		Occupied	已被占用
		Place Character In	将人员放置于此
		Pick Up Character	扛起人员
		Store	存储
		Equip	装备
		Restock	补充
		Swap to	交换到
		Release	释放
		Tap	点击
		Grab	抓住
		Hold	按住
		Tether	系(Tether)
		Structure	结构
		Vehicle	载具
		Return To Workbench	返回工作台
		Deceased	已死亡
		Stop Following	停止跟随
		Follow	跟随
		Purchase Island\n$	购买岛屿\n$
		Purchase Island to Use	购买岛屿以使用
		Not Available	不可用
		Not Available When Carrying Someone	携带人员时不可用
		Spawning...	正在生成...
		SAVE SELECTION	保存所选内容
		SAVE VEHICLE	保存载具
		DISABLED	禁用
		X PLANE	X平面
		Y PLANE	Y平面
		Z PLANE	Z平面
		none set	未设置
		Fast-travel Location	快速旅行地点
		CLICK TO TRAVEL HERE	点击此处旅行
		Island for sale	待出售基地
		You are here	你在这里
		CLICK TO TAKE TO WORKBENCH	点击进入工作台
		Waypoint	航路点
		Fuel Location	燃料站
		exit bed	离开床
		change view	更改视角
		Infinite	无限的
		Are you sure you want to purchase this property?	您确定要购买此岛屿吗？
		You cannot afford to purchase this property at the moment	你现在买不起这个岛屿
		FAST TRAVEL	快速旅行
		Are you sure you want to travel to this location?	你确定要去这个地方吗？
		Cancel	取消
		Confirm	确认
		TAKE TO WORKBENCH	带到工作台
		Are you sure you want to take this vehicle back to the workbench?	你确定要把这辆载具带回工作台吗？
		Are you sure you want to spawn this mission?	你确定要生成此任务吗？
		Only missions available on the server are possible to spawn.	只有服务器上可用的任务才可能生成。
		SPAWN MISSION	生成任务
		REMOVE MISSION	删除任务
		BEGIN RESEARCH	开始研究
		Are you sure you want to begin researching ###?\n\nThis will spend some of your Research Points and cannot be cancelled.	你确定要开始研究吗？\n\n这将花费您的一些研究点，无法取消。
		Are you sure you want to remove this mission?\n\nThis will cause all spawned objects and vehicles created by this mission to be removed from the world.\n\n(You can respawn this mission from the mission selector)	确定要删除此任务吗？\n\n这将导致此任务创建的所有衍生对象和载具从世界上删除。\n\n(您可以从任务选择器重新生成此任务)
		Map	地图
		Missions	任务
		Research	研究
		No missions available. Sleep in a bed to fast-forward, or click the (+) button to manually spawn a mission.	没有任务可用。在床上睡觉来让时间快进，或是按下(+)按钮来手动生成一个任务。
		show controls	显示控制说明
		hide controls	隐藏控制说明
		No Active Mission	没有当前激活任务
		Recommended difficulty for new players. No vehicle or character damage. No advanced vehicle mechanics.	新玩家的推荐难度。无载具或人物损坏。没有高级载具选项。
		Survival difficulty. Advanced vehicle mechanics. Transmission pipes. Injuries and death. No starting vehicles.	生存困难。高级载具。传输管道。受伤和死亡。没有起始载具。
		Survival difficulty with reduced starting money, locked to first person view, no fast travel or vehicle teleporting, limited fuel.	生存困难与启动资金减少，锁定第一人称，没有快速旅行或载具传送，有限的燃料。
		Hardcore mode with permadeath (save file will be deleted upon death).	带有永久死亡的硬核模式(保存文件将在死亡时被删除)。
		Custom difficulty settings.	自定义难度设置。
		Custom mode. A sandbox environment with an array of settings to customise your session. Career or Creative.	自定义模式，随意设定你的游戏，无论是生涯还是创造。
		Classic career mode. Expand your coastguard empire. Complete missions to earn money and unlock components.	经典生涯模式。扩张你的海岸警卫队帝国，通过完成任务来获得金钱、解锁组件。
		Career mode. Expand your coastguard empire. Complete missions with survival style settings.	生涯模式。扩张你的海岸警卫队帝国，在更加生存风格的设置下完成任务。
		Custom game mode settings.	自定义游戏模式设置。
		PLEASE CHOOSE ANOTHER KEY	请选择其他按键
		PRESS CONTROLLER BUTTON TO REBIND TO	按控制器按钮重新绑定到
		PRESS KEY/MOUSE TO REBIND TO	按键/鼠标重新绑定到
		GRAPHICS	画质
		QUALITY	质量
		Window Mode	窗口模式
		Resolution	分辨率
		Antialiasing Mode	抗锯齿模式
		VSync	垂直同步
		View Distance	视距
		Meters	米
		Motion Blur	运动模糊
		Ocean Reflections	水面反射质量
		Bloom	泛光
		Wildlife	野生动物
		Shadow Quality	阴影质量
		Shadow Resolution	阴影分辨率
		Light Volume Quality	体积光质量
		SSAO	SSAO
		SSAO Quality	SSAO质量
		Vehicle Foam	载具水花
		Ocean Foam	海面纹理(泡沫效果)
		Tree Quality	树木质量
		Monitor Quality	屏幕质量
		FOV	FOV
		First Person	第一人称
		degrees	度
		First Person Vehicle	载具第一人称
		Third Person	第三人称
		Windowed	窗口化
		Fullscreen	全屏
		None	无
		FXAA	FXAA
		TAA	TAA
		Disabled	禁用
		Enabled	启用
		Low	低
		Medium	中等
		High	高
		Ultra	超高
		AUDIO	音频
		VOLUME	音量
		Master	主音量
		Sounds	声音
		Environment	环境
		Music	音乐
		CONTROLS	控制
		MOUSE	鼠标
		Invert Y	Y轴反转
		Invert X	X轴反转
		Sensitivity	灵敏度
		Aspect	横纵比(Aspect)
		Smoothing	第三人称镜头平滑
		Vehicle Camera Mode	载具第三人称模式
		Fixed Yaw	左右锁定
		Fixed	完全锁定
		Free	自由
		GENERAL	概览
